name,location,edition,restaurant_url,address,lat,lon
Yacob's Kitchen,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/jakobs-kitchen-editions-bsy?day=today&geohash=gcpuyurpq8k1&time=ASAP,"Unit 9, British Wharf, Landmann Way, London, SE145RS",51.4846234,-0.044459279
Shake Shack,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/shake-shack-editions-bsy?day=today&geohash=gcpuyurpq8k1&time=ASAP,"Unit 9, British Wharf, Landmann Way, London, SE145RS",51.4846234,-0.044459279
Poke Shack,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/poke-shack-editions-bsy?day=today&geohash=gcpuyurpq8k1&time=ASAP,"Unit 9, British Wharf, Landmann Way, London, SE145RS",51.4846234,-0.044459279
Dishoom ,London,bsy-2-editions,https://deliveroo.co.uk/menu/London/bsy-2-editions/dishoom-editions-ber?day=today&geohash=gcpuyurpq8k1&time=ASAP,"145 Ormside Street, South Bermondsey, London, SE151TF",51.4831068,-0.0556266
WING·STOP,London,bsy-2-editions,https://deliveroo.co.uk/menu/London/bsy-2-editions/wingstop-editions-ber?day=today&geohash=gcpuyurpq8k1&time=ASAP,"145 Ormside Street, London, SE151TF",51.4831068,-0.0556266
Remedy Kitchen,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/remedy-kitchen-editions-bsy?day=today&geohash=gcpuyurpq8k1&time=ASAP,"9 British Wharf Landmann Way, London, SE145RS",51.4845,-0.04504
Tao Tao Ju,London,bsy-2-editions,https://deliveroo.co.uk/menu/London/bsy-2-editions/tao-tao-ju-carlisle-lane?day=today&geohash=gcpuyurpq8k1&time=ASAP,"145 Ormside Street, South Bermondsey London,, London, SE151TF",51.4831068,-0.0556266
Coqfighter ,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/coqfighter-editions-dul?day=today&geohash=gcpuyurpq8k1&time=ASAP,"Units 3 & 4 Dulwich Business Centre, Dulwich, London, SE231AG",51.44282736,-0.048059682
Bronson's Burgers,London,south-bermondsey-area,https://deliveroo.co.uk/menu/London/south-bermondsey-area/bronsons-burgers-ormside-street?day=today&geohash=gcpuyurpq8k1&time=ASAP,"107 Ormside Street, London, SE151TF",51.4831068,-0.0556266
Jude's Ice Cream,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/judes-ice-cream-editions-sur?day=today&geohash=gcpuyurpq8k1&time=ASAP,"Unit 9, British Wharf, Landmann Way, London, SE145RS",51.4846234,-0.044459279
Trip CBD Store ,London,south-bermondsey-area,https://deliveroo.co.uk/menu/London/south-bermondsey-area/trip-cbd-store-peckham?day=today&geohash=gcpuyurpq8k1&time=ASAP,"107-109 Ormside Street, London, SE151TF",51.4831068,-0.0556266
Zing Zing ,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/zing-zing-editions-dul?geohash=gcpuyurpq8k1,"Units 3 & 4 Dulwich Business Centre Dulwich, London, SE231AG",51.44282736,-0.048059682
Popeyes Louisiana Kitchen,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/popeyes-editions-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP,"15A Parkfield Industrial Estate, Culvert Place, Battersea, London, SW115BA",51.47134195,-0.153572684
