,name,location,timestamps,timestamp_urls,restaurant_url
0,Oowee Vegan,brighton-editions,"['20201019', '20201021']","['https://web.archive.org/web/20201019/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20201021/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/brighton/brighton-editions/oowee-vegan-editions-bnc?day=today&geohash=gcpc5qr68ee1&time=ASAP
1,Shake Shack,brighton-editions,"['20201019', '20201021']","['https://web.archive.org/web/20201019/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20201021/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/brighton/brighton-editions/shake-shack-editions-bnc?day=today&geohash=gcpc5qr68ee1&time=ASAP
2,Lost Boys Chicken,hove,"['20201019', '20210618', '20210123', '20201021', '20210511', '20210928']","['https://web.archive.org/web/20201019/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210618/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210123/https://deliveroo.co.uk/restaurants/brighton/brighton?tags=deliveroo+editions', 'https://web.archive.org/web/20201021/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions', 'https://web.archive.org/web/20210511/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions', 'https://web.archive.org/web/20210928043417/https://deliveroo.co.uk/restaurants/brighton/preston-park?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/brighton/hove/lost-boys-chicken-editions?day=today&geohash=gcpc5qr68ee1&time=ASAP
3,The Athenian,brighton-editions,"['20201019', '20210618', '20210123', '20201021', '20210511']","['https://web.archive.org/web/20201019/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210618/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210123/https://deliveroo.co.uk/restaurants/brighton/brighton?tags=deliveroo+editions', 'https://web.archive.org/web/20201021/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions', 'https://web.archive.org/web/20210511/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/brighton/brighton-editions/the-athenian-editions-bnc-new?day=today&geohash=gcpc5qr68ee1&time=ASAP
4,The Great British Cheesecake Company ,brighton-editions,"['20201019', '20210618', '20210123', '20210511', '20210928']","['https://web.archive.org/web/20201019/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210618/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210123/https://deliveroo.co.uk/restaurants/brighton/brighton?tags=deliveroo+editions', 'https://web.archive.org/web/20210511/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions', 'https://web.archive.org/web/20210928043417/https://deliveroo.co.uk/restaurants/brighton/preston-park?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/brighton/brighton-editions/the-great-british-cheesecake-company-editions-bnc?day=today&geohash=gcpc5qr68ee1&time=ASAP
5,The Athenian Plant Based,brighton-editions,"['20201019', '20210618', '20210123', '20201021', '20210511']","['https://web.archive.org/web/20201019/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210618/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210123/https://deliveroo.co.uk/restaurants/brighton/brighton?tags=deliveroo+editions', 'https://web.archive.org/web/20201021/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions', 'https://web.archive.org/web/20210511/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/brighton/brighton-editions/the-athenian-plant-based-editions-bnc-new?day=today&geohash=gcpc5qr68ee1&time=ASAP
6,The Ice Cream Store,brighton-editions,"['20201019', '20210618']","['https://web.archive.org/web/20201019/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210618/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/brighton/brighton-editions/the-ice-cream-store-editions-bnc?day=today&geohash=gcpc5qr68ee1&time=ASAP
7,Pleesecakes - cheesecake,brighton-editions,"['20201019', '20210618', '20210123', '20201021', '20210511', '20210928']","['https://web.archive.org/web/20201019/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210618/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210123/https://deliveroo.co.uk/restaurants/brighton/brighton?tags=deliveroo+editions', 'https://web.archive.org/web/20201021/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions', 'https://web.archive.org/web/20210511/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions', 'https://web.archive.org/web/20210928043417/https://deliveroo.co.uk/restaurants/brighton/preston-park?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/brighton/brighton-editions/pleesecakes-editions-bnc?day=today&geohash=gcpc5qr68ee1&time=ASAP
8,TRIP CBD Store	,brighton-editions,"['20201019', '20210618', '20210123', '20201021', '20210511', '20210928']","['https://web.archive.org/web/20201019/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210618/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210123/https://deliveroo.co.uk/restaurants/brighton/brighton?tags=deliveroo+editions', 'https://web.archive.org/web/20201021/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions', 'https://web.archive.org/web/20210511/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions', 'https://web.archive.org/web/20210928043417/https://deliveroo.co.uk/restaurants/brighton/preston-park?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/brighton/brighton-editions/trip-cbd-store-editions-bnc?day=today&geohash=gcpc5qr68ee1&time=ASAP
9,Halo Top,brighton-editions,['20201019'],['https://web.archive.org/web/20201019/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions'],https://deliveroo.co.uk/menu/brighton/brighton-editions/halo-top?day=today&geohash=gcpc5qr68ee1&time=ASAP
10,VIP Very Italian Pizza,brighton-editions,"['20201019', '20210618', '20210123', '20201021', '20210511', '20210928']","['https://web.archive.org/web/20201019/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210618/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210123/https://deliveroo.co.uk/restaurants/brighton/brighton?tags=deliveroo+editions', 'https://web.archive.org/web/20201021/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions', 'https://web.archive.org/web/20210511/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions', 'https://web.archive.org/web/20210928043417/https://deliveroo.co.uk/restaurants/brighton/preston-park?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/brighton/brighton-editions/vip-italy-limited-hove?day=today&geohash=gcpc5qr68ee1&time=1715
11,A Burgers Veggie Kitchen  by Taster,,"['20201019', '20201021']","['https://web.archive.org/web/20201019/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20201021/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions']",
12,Saucybird,,"['20201019', '20201021']","['https://web.archive.org/web/20201019/https://deliveroo.co.uk/restaurants/brighton/brighton-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20201021/https://deliveroo.co.uk/restaurants/brighton/hove?tags=deliveroo+editions']",
